"Year","StockNo","individual_ROI","y_ROI","i_yROI"
2014,2231,32.54,1.3928,1.0699
2014,3008,46.35,1.3928,1.0699
2013,3008,90.76,1.2962,1.091
2013,3563,9.65,1.2962,1.091
2013,9924,-2.95,1.2962,1.091
2013,9951,39.06,1.2962,1.091
2012,5489,9.51,1.0951,1.1525
2011,2049,5.2,1.0139,0.9803
2011,2103,-7.57,1.0139,0.9803
2011,3008,-25.36,1.0139,0.9803
2011,3454,29.51,1.0139,0.9803
2011,3598,-7.06,1.0139,0.9803
2011,6231,0.37,1.0139,0.9803
2011,6269,25.63,1.0139,0.9803
2010,1558,8.48,1.1051,1.0814
2010,6210,20.1,1.1051,1.0814
2010,6213,3.59,1.1051,1.0814
2009,3083,-21.97,0.7803,0.9974
2008,2059,40.5,1.1543,1.4293
2008,2601,28.57,1.1543,1.4293
2008,3008,15.85,1.1543,1.4293
2008,3093,2.45,1.1543,1.4293
2008,5608,17.24,1.1543,1.4293
2008,9921,-5.88,1.1543,1.4293
2007,2454,-22.77,0.8711,1.0084
2007,3211,22.37,0.8711,1.0084
2007,3323,-18.87,0.8711,1.0084
2007,5483,7.51,0.8711,1.0084
2007,5484,-31.4,0.8711,1.0084
2007,6205,-24.76,0.8711,1.0084
2007,9914,-10.53,0.8711,1.0084
